player_name,Size,Explosiveness,Strength,career_length,overall_pick,age_at_draft,organization_type,position,greatest_75
Gilbert Arenas,-1.5845874700292695,0.15614832621767732,-0.026600230419726076,11.0,30,19.0,College/University,SG,N
Brandon Armstrong,-1.5534458289389523,-0.5228299024018873,0.34602389250599824,3.0,23,21.0,College/University,SG,N
Shane Battier,0.9250170822011982,0.18133740868086617,0.9416152093592572,13.0,6,23.0,College/University,SF-PF,N
Ruben Boumtje-Boumtje,3.231861091135597,-0.4207842601470958,-1.3238456105537495,3.0,49,23.0,College/University,C,N
Michael Bradley,2.2294172209729135,-0.4376154696266984,0.9083044717682252,5.0,17,22.0,College/University,PF,N
Jamison Brewer,-1.8650267176466577,-1.2802207739622722,1.2286922300999576,4.0,40,21.0,College/University,PG,N
Kwame Brown,2.5223248722705507,0.8933337935912106,0.7868575770234235,12.0,1,19.0,High School,PF-C,N
Tyson Chandler,2.3674842934501275,0.004217743783631553,-2.1919754768355397,19.0,2,19.0,High School,SF-PF,N
Jason Collins,4.790816094080526,-1.2839248618112182,0.8526567309233385,13.0,18,23.0,College/University,PF-C,N
Jarron Collins,4.346398763735791,-1.976225244927693,2.4171263661869093,10.0,52,23.0,College/University,C-PF,N
Eddy Curry,5.845475033255583,1.0368584677909867,2.490025919810728,12.0,4,19.0,High School,C,N
Alton Ford,0.6003364659246594,3.1537057817498377,1.2689422340828351,3.0,50,20.0,College/University,PF,N
Joseph Forte,-0.9002996658655265,-1.4854742687028288,0.5188434216176875,2.0,21,20.0,College/University,SG,N
Eddie Griffin,1.7042853996276663,-0.655801523582825,-2.1541619697784484,6.0,7,19.0,College/University,PF-SF,N
Kirk Haston,2.6539695293935326,-0.5323151900834391,0.8428584297302643,2.0,16,22.0,College/University,PF-SF,N
Brendan Haywood,5.963897333576329,0.3747830130475458,1.1820961920304098,14.0,20,22.0,College/University,C,N
Steven Hunter,1.0780471490495853,1.786776005256792,-1.6038066890843787,9.0,15,20.0,College/University,C-PF,N
Joe Johnson,0.574044535434292,0.7450057513087421,-0.349443498146533,21.0,10,20.0,College/University,SF-SG,N
Sean Lampley,-1.8389944447783872,2.2385670203329044,0.09284888244618415,2.0,44,22.0,College/University,SF,N
Troy Murphy,1.8363490390941564,-0.0887148432797516,1.176354359555097,12.0,14,21.0,College/University,PF,N
Jason Richardson,-1.067485295320704,1.8636380875527068,-0.4372280609629197,14.0,5,20.0,College/University,SF-SG,N
Jeryl Sasser,-0.35315231979275363,-1.2649768273670303,-1.1800027571206093,2.0,22,22.0,College/University,PG-SG,N
Brian Scalabrine,2.8791924164743947,-0.7801698137136778,2.3357680364874036,11.0,34,23.0,College/University,PF-SF,N
Bobby Simmons,1.4624759614940892,-0.29090169332706867,0.12289937904357127,11.0,41,21.0,College/University,SF,N
Will Solomon,-2.15991351783786,-1.7067175376294297,-1.0644199050062582,8.0,32,23.0,College/University,PG-SG,N
Jamaal Tinsley,-1.0087403153989505,-1.6386206602391216,1.104255111014792,13.0,27,23.0,College/University,PG,N
Earl Watson,-3.2772980078661744,-0.5843412878232097,-0.944969245197126,13.0,39,22.0,College/University,PG,N
Rodney White,2.355154381647801,-0.12690888896224292,1.1922781869929928,4.0,9,21.0,College/University,SF,N
Loren Woods,4.882222248241635,-0.9534443060485343,-0.03822774208378153,7.0,45,23.0,College/University,C-PF,N
Tony Allen,-1.370074901941092,1.1327713030911595,1.0332839663900018,14.0,25,22.0,College/University,SG,N
Trevor Ariza,1.197935282285902,-0.43836972269797214,-0.555231087056214,18.0,43,19.0,College/University,SG-SF,N
Brandon Bass,1.5498270698124703,1.6102608814329005,1.1188027366258342,12.0,33,19.0,College/University,PF,N
Antonio Burks,-1.820888409788317,-1.2044883414118523,1.4280855680292006,2.0,36,24.0,College/University,PG,N
Josh Childress,0.6918361382641522,-0.3713946560020099,0.17772473262240168,10.0,6,21.0,College/University,SG-SF,N
Luol Deng,1.516967670558664,-1.1050822890814944,-0.7716852855978714,15.0,7,19.0,College/University,SF,N
Chris Duhon,-2.8869405890343347,-0.5877684523721005,0.5128646572784658,9.0,38,22.0,College/University,PG,N
Andre Emmett,-0.7960812799447738,-0.32176419005738977,0.3760464127178241,8.0,35,22.0,College/University,SG-SF,N
Luis Flores,-1.8405437421642676,-0.47701410362547414,1.3004205971378044,1.0,55,23.0,College/University,PG-SG,N
Matt Freije,1.861662379903689,0.4236301569057547,1.1621909013903093,3.0,53,23.0,College/University,SF-PF,N
Ryan Gomes,2.3823508434338696,-0.5814462838009216,-0.3951377350618423,9.0,50,22.0,College/University,SF-PF,N
Ben Gordon,-2.2421838234933436,0.24318306551993887,0.0051644172928377585,11.0,3,21.0,College/University,PG-SG,N
Devin Harris,-2.687192191456724,-0.9479043134284223,-0.7051221021326458,15.0,5,21.0,College/University,PG,N
Dwight Howard,1.778316392480609,1.3292908155672893,-0.27140698779696754,18.0,1,19.0,High School,PF-C,N
Kris Humphries,0.9100636971248957,1.9793231986192679,0.9600508166345029,13.0,14,19.0,College/University,PF,N
Luke Jackson,-0.14832804677270245,-0.3332992018084473,0.9680484615388062,4.0,10,23.0,College/University,SF-SG,N
Al Jefferson,3.818604789215301,-0.5409813614896108,-0.5754102010704596,14.0,15,19.0,High School,PF-SF,N
Shaun Livingston,0.1346574520615092,-1.3919147730116626,0.22807192619920041,15.0,4,19.0,High School,PG-SG,N
Jameer Nelson,-2.658684081513168,-1.0331018776324028,2.364118531538321,14.0,20,22.0,College/University,PG,N
Emeka Okafor,2.2322347527075395,2.7728294479078235,-0.11211558932016182,14.0,2,22.0,College/University,C-PF,N
Peter Ramos,5.763777063903318,-2.0270919162717025,-1.6023982960982535,1.0,32,19.0,Other Team/Club,C,N
Lawrence Roberts,2.039778476710431,0.20279658456886598,1.2418621694497698,2.0,55,22.0,College/University,PF,N
